ProductKey,ProductName,SubCategory,Category,ProductLine,Class,ListPrice,DealerPrice,StandardCost,Color,Size,SizeRange,Weight,ModelName,Status,StartDate,EndDate,Description
483,Hitch Rack - 4-Bike,Bike Racks,Accessories,S,,120,72,44.88,NA,,NA,,Hitch Rack - 4-Bike,Current,01/07/2018,,"Carries 4 bikes securely; steel construction, fits 2"" receiver hitch."
486,All-Purpose Bike Stand,Bike Stands,Accessories,M,,159,95.4,59.466,NA,,NA,,All-Purpose Bike Stand,Current,01/07/2018,,Perfect all-purpose bike stand for working on your bike at home. Quick-adjusting clamps and steel construction.
477,Water Bottle - 30 oz.,Bottles and Cages,Accessories,S,,4.99,2.994,1.8663,NA,,NA,,Water Bottle,Current,01/07/2018,,AWC logo water bottle - holds 30 oz; leak-proof.
478,Mountain Bottle Cage,Bottles and Cages,Accessories,M,,9.99,5.994,3.7363,NA,,NA,,Mountain Bottle Cage,Current,01/07/2018,,Tough aluminum cage holds bottle securly on tough terrain.
479,Road Bottle Cage,Bottles and Cages,Accessories,R,,8.99,5.394,3.3623,NA,,NA,,Road Bottle Cage,Current,01/07/2018,,Aluminum cage is lighter than our mountain version; perfect for long distance trips.
484,Bike Wash - Dissolver,Cleaners,Accessories,S,,7.95,4.77,2.9733,NA,,NA,,Bike Wash,Current,01/07/2018,,"Washes off the toughest road grime; dissolves grease, environmentally safe. 1-liter bottle."
485,Fender Set - Mountain,Fenders,Accessories,M,,21.98,13.188,8.2205,NA,,NA,,Fender Set - Mountain,Current,01/07/2018,,Clip-on fenders fit most mountain bikes.
212,"Sport-100 Helmet, Red",Helmets,Accessories,S,,33.6442,20.1865,12.0278,Red,,NA,,Sport-100,,01/07/2016,30/06/2017,"Universal fit, well-vented, lightweight , snap-on visor."
213,"Sport-100 Helmet, Red",Helmets,Accessories,S,,33.6442,20.1865,13.8782,Red,,NA,,Sport-100,,01/07/2017,30/06/2018,"Universal fit, well-vented, lightweight , snap-on visor."
214,"Sport-100 Helmet, Red",Helmets,Accessories,S,,34.99,20.994,13.0863,Red,,NA,,Sport-100,Current,01/07/2018,,"Universal fit, well-vented, lightweight , snap-on visor."
215,"Sport-100 Helmet, Black",Helmets,Accessories,S,,33.6442,20.1865,12.0278,Black,,NA,,Sport-100,,01/07/2016,30/06/2017,"Universal fit, well-vented, lightweight , snap-on visor."
216,"Sport-100 Helmet, Black",Helmets,Accessories,S,,33.6442,20.1865,13.8782,Black,,NA,,Sport-100,,01/07/2017,30/06/2018,"Universal fit, well-vented, lightweight , snap-on visor."
217,"Sport-100 Helmet, Black",Helmets,Accessories,S,,34.99,20.994,13.0863,Black,,NA,,Sport-100,Current,01/07/2018,,"Universal fit, well-vented, lightweight , snap-on visor."
220,"Sport-100 Helmet, Blue",Helmets,Accessories,S,,33.6442,20.1865,12.0278,Blue,,NA,,Sport-100,,01/07/2016,30/06/2017,"Universal fit, well-vented, lightweight , snap-on visor."
221,"Sport-100 Helmet, Blue",Helmets,Accessories,S,,33.6442,20.1865,13.8782,Blue,,NA,,Sport-100,,01/07/2017,30/06/2018,"Universal fit, well-vented, lightweight , snap-on visor."
222,"Sport-100 Helmet, Blue",Helmets,Accessories,S,,34.99,20.994,13.0863,Blue,,NA,,Sport-100,Current,01/07/2018,,"Universal fit, well-vented, lightweight , snap-on visor."
487,Hydration Pack - 70 oz.,Hydration Packs,Accessories,S,,54.99,32.994,20.5663,Silver,70,70,,Hydration Pack,Current,01/07/2018,,"Versatile 70 oz hydration pack offers extra storage, easy-fill access, and a waist belt."
450,Taillights - Battery-Powered,Lights,Accessories,R,,13.99,8.394,5.7709,NA,,NA,,Taillight,,01/07/2017,30/06/2018,Affordable light for safe night riding - uses 3 AAA batteries
451,Headlights - Dual-Beam,Lights,Accessories,R,,34.99,20.994,14.4334,NA,,NA,,Headlights - Dual-Beam,,01/07/2017,30/06/2018,Rechargeable dual-beam headlight.
452,Headlights - Weatherproof,Lights,Accessories,R,,44.99,26.994,18.5584,NA,,NA,,Headlights - Weatherproof,,01/07/2017,30/06/2018,Rugged weatherproof headlight.
447,Cable Lock,Locks,Accessories,S,,25,15,10.3125,NA,,NA,,Cable Lock,,01/07/2017,30/06/2018,"Wraps to fit front and rear tires, carrier and 2 keys included."
446,"Touring-Panniers, Large",Panniers,Accessories,T,,125,75,51.5625,Grey,,NA,,Touring-Panniers,,01/07/2017,30/06/2018,"Durable, water-proof nylon construction with easy access. Large enough for weekend trips."
448,Minipump,Pumps,Accessories,S,,19.99,11.994,8.2459,NA,,NA,,Minipump,,01/07/2017,30/06/2018,Designed for convenience. Fits in your pocket. Aluminum barrel. 160psi rated.
449,Mountain Pump,Pumps,Accessories,M,,24.99,14.994,10.3084,NA,,NA,,Mountain Pump,,01/07/2017,30/06/2018,Simple and light-weight. Emergency patches stored in handle.
480,Patch Kit/8 Patches,Tires and Tubes,Accessories,S,,2.29,1.374,0.8565,NA,,NA,,Patch kit,Current,01/07/2018,,"Includes 8 different size patches, glue and sandpaper."
528,Mountain Tire Tube,Tires and Tubes,Accessories,M,,4.99,2.994,1.8663,NA,,NA,,Mountain Tire Tube,Current,01/07/2018,,Self-sealing tube.
529,Road Tire Tube,Tires and Tubes,Accessories,R,,3.99,2.394,1.4923,NA,,NA,,Road Tire Tube,Current,01/07/2018,,Conventional all-purpose tube.
530,Touring Tire Tube,Tires and Tubes,Accessories,T,,4.99,2.994,1.8663,NA,,NA,,Touring Tire Tube,Current,01/07/2018,,General purpose tube.
535,LL Mountain Tire,Tires and Tubes,Accessories,M,L,24.99,14.994,9.3463,NA,,NA,,LL Mountain Tire,Current,01/07/2018,,"Comparible traction, less expensive wire bead casing."
536,ML Mountain Tire,Tires and Tubes,Accessories,M,M,29.99,17.994,11.2163,NA,,NA,,ML Mountain Tire,Current,01/07/2018,,"Great traction, high-density rubber."
537,HL Mountain Tire,Tires and Tubes,Accessories,M,H,35,21,13.09,NA,,NA,,HL Mountain Tire,Current,01/07/2018,,"Incredible traction, lightweight carbon reinforced."
538,LL Road Tire,Tires and Tubes,Accessories,R,L,21.49,12.894,8.0373,NA,,NA,,LL Road Tire,Current,01/07/2018,,Same great treads as more expensive tire with a less expensive wire bead casing.
539,ML Road Tire,Tires and Tubes,Accessories,R,M,24.99,14.994,9.3463,NA,,NA,,ML Road Tire,Current,01/07/2018,,Higher density rubber.
540,HL Road Tire,Tires and Tubes,Accessories,R,H,32.6,19.56,12.1924,NA,,NA,,HL Road Tire,Current,01/07/2018,,Lightweight carbon reinforced  for an unrivaled ride at an un-compromised weight.
541,Touring Tire,Tires and Tubes,Accessories,T,,28.99,17.394,10.8423,NA,,NA,,Touring Tire,Current,01/07/2018,,High-density rubber.
362,"Mountain-200 Black, 46",Mountain Bikes,Bikes,M,H,2049.0982,1229.4589,1105.81,Black,46,42-46 CM,24.13,Mountain-200,,01/07/2017,30/06/2018,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.
363,"Mountain-200 Black, 46",Mountain Bikes,Bikes,M,H,2294.99,1376.994,1251.9813,Black,46,42-46 CM,24.13,Mountain-200,Current,01/07/2018,,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.
364,"Mountain-300 Black, 38",Mountain Bikes,Bikes,M,M,1079.99,647.994,598.4354,Black,38,38-40 CM,25.35,Mountain-300,,01/07/2017,30/06/2018,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.
365,"Mountain-300 Black, 40",Mountain Bikes,Bikes,M,M,1079.99,647.994,598.4354,Black,40,38-40 CM,25.77,Mountain-300,,01/07/2017,30/06/2018,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.
587,"Mountain-400-W Silver, 38",Mountain Bikes,Bikes,M,M,769.49,461.694,419.7784,Silver,38,38-40 CM,26.35,Mountain-400-W,Current,01/07/2018,,"This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road."
588,"Mountain-400-W Silver, 40",Mountain Bikes,Bikes,M,M,769.49,461.694,419.7784,Silver,40,38-40 CM,26.77,Mountain-400-W,Current,01/07/2018,,"This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road."
589,"Mountain-400-W Silver, 42",Mountain Bikes,Bikes,M,M,769.49,461.694,419.7784,Silver,42,42-46 CM,27.13,Mountain-400-W,Current,01/07/2018,,"This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road."
590,"Mountain-400-W Silver, 46",Mountain Bikes,Bikes,M,M,769.49,461.694,419.7784,Silver,46,42-46 CM,27.42,Mountain-400-W,Current,01/07/2018,,"This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road."
344,"Mountain-100 Silver, 38",Mountain Bikes,Bikes,M,H,3399.99,2039.994,1912.1544,Silver,38,38-40 CM,20.35,Mountain-100,,01/07/2016,30/06/2017,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain."
345,"Mountain-100 Silver, 42",Mountain Bikes,Bikes,M,H,3399.99,2039.994,1912.1544,Silver,42,42-46 CM,20.77,Mountain-100,,01/07/2016,30/06/2017,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain."
346,"Mountain-100 Silver, 44",Mountain Bikes,Bikes,M,H,3399.99,2039.994,1912.1544,Silver,44,42-46 CM,21.13,Mountain-100,,01/07/2016,30/06/2017,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain."
347,"Mountain-100 Silver, 48",Mountain Bikes,Bikes,M,H,3399.99,2039.994,1912.1544,Silver,48,48-52 CM,21.42,Mountain-100,,01/07/2016,30/06/2017,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain."
348,"Mountain-100 Black, 38",Mountain Bikes,Bikes,M,H,3374.99,2024.994,1898.0944,Black,38,38-40 CM,20.35,Mountain-100,,01/07/2016,30/06/2017,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain."
349,"Mountain-100 Black, 42",Mountain Bikes,Bikes,M,H,3374.99,2024.994,1898.0944,Black,42,42-46 CM,20.77,Mountain-100,,01/07/2016,30/06/2017,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain."
350,"Mountain-100 Black, 44",Mountain Bikes,Bikes,M,H,3374.99,2024.994,1898.0944,Black,44,42-46 CM,21.13,Mountain-100,,01/07/2016,30/06/2017,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain."
351,"Mountain-100 Black, 48",Mountain Bikes,Bikes,M,H,3374.99,2024.994,1898.0944,Black,48,48-52 CM,21.42,Mountain-100,,01/07/2016,30/06/2017,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain."
352,"Mountain-200 Silver, 38",Mountain Bikes,Bikes,M,H,2071.4196,1242.8518,1117.8559,Silver,38,38-40 CM,23.35,Mountain-200,,01/07/2017,30/06/2018,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.
353,"Mountain-200 Silver, 38",Mountain Bikes,Bikes,M,H,2319.99,1391.994,1265.6195,Silver,38,38-40 CM,23.35,Mountain-200,Current,01/07/2018,,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.
354,"Mountain-200 Silver, 42",Mountain Bikes,Bikes,M,H,2071.4196,1242.8518,1117.8559,Silver,42,42-46 CM,23.77,Mountain-200,,01/07/2017,30/06/2018,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.
355,"Mountain-200 Silver, 42",Mountain Bikes,Bikes,M,H,2319.99,1391.994,1265.6195,Silver,42,42-46 CM,23.77,Mountain-200,Current,01/07/2018,,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.
356,"Mountain-200 Silver, 46",Mountain Bikes,Bikes,M,H,2071.4196,1242.8518,1117.8559,Silver,46,42-46 CM,24.13,Mountain-200,,01/07/2017,30/06/2018,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.
357,"Mountain-200 Silver, 46",Mountain Bikes,Bikes,M,H,2319.99,1391.994,1265.6195,Silver,46,42-46 CM,24.13,Mountain-200,Current,01/07/2018,,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.
358,"Mountain-200 Black, 38",Mountain Bikes,Bikes,M,H,2049.0982,1229.4589,1105.81,Black,38,38-40 CM,23.35,Mountain-200,,01/07/2017,30/06/2018,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.
359,"Mountain-200 Black, 38",Mountain Bikes,Bikes,M,H,2294.99,1376.994,1251.9813,Black,38,38-40 CM,23.35,Mountain-200,Current,01/07/2018,,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.
360,"Mountain-200 Black, 42",Mountain Bikes,Bikes,M,H,2049.0982,1229.4589,1105.81,Black,42,42-46 CM,23.77,Mountain-200,,01/07/2017,30/06/2018,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.
361,"Mountain-200 Black, 42",Mountain Bikes,Bikes,M,H,2294.99,1376.994,1251.9813,Black,42,42-46 CM,23.77,Mountain-200,Current,01/07/2018,,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.
366,"Mountain-300 Black, 44",Mountain Bikes,Bikes,M,M,1079.99,647.994,598.4354,Black,44,42-46 CM,26.13,Mountain-300,,01/07/2017,30/06/2018,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.
367,"Mountain-300 Black, 48",Mountain Bikes,Bikes,M,M,1079.99,647.994,598.4354,Black,48,48-52 CM,26.42,Mountain-300,,01/07/2017,30/06/2018,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.
591,"Mountain-500 Silver, 40",Mountain Bikes,Bikes,M,L,564.99,338.994,308.2179,Silver,40,38-40 CM,27.35,Mountain-500,Current,01/07/2018,,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride."
592,"Mountain-500 Silver, 42",Mountain Bikes,Bikes,M,L,564.99,338.994,308.2179,Silver,42,42-46 CM,27.77,Mountain-500,Current,01/07/2018,,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride."
593,"Mountain-500 Silver, 44",Mountain Bikes,Bikes,M,L,564.99,338.994,308.2179,Silver,44,42-46 CM,28.13,Mountain-500,Current,01/07/2018,,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride."
594,"Mountain-500 Silver, 48",Mountain Bikes,Bikes,M,L,564.99,338.994,308.2179,Silver,48,48-52 CM,28.42,Mountain-500,Current,01/07/2018,,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride."
595,"Mountain-500 Silver, 52",Mountain Bikes,Bikes,M,L,564.99,338.994,308.2179,Silver,52,48-52 CM,28.68,Mountain-500,Current,01/07/2018,,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride."
596,"Mountain-500 Black, 40",Mountain Bikes,Bikes,M,L,539.99,323.994,294.5797,Black,40,38-40 CM,27.35,Mountain-500,Current,01/07/2018,,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride."
597,"Mountain-500 Black, 42",Mountain Bikes,Bikes,M,L,539.99,323.994,294.5797,Black,42,42-46 CM,27.77,Mountain-500,Current,01/07/2018,,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride."
598,"Mountain-500 Black, 44",Mountain Bikes,Bikes,M,L,539.99,323.994,294.5797,Black,44,42-46 CM,28.13,Mountain-500,Current,01/07/2018,,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride."
599,"Mountain-500 Black, 48",Mountain Bikes,Bikes,M,L,539.99,323.994,294.5797,Black,48,48-52 CM,28.42,Mountain-500,Current,01/07/2018,,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride."
600,"Mountain-500 Black, 52",Mountain Bikes,Bikes,M,L,539.99,323.994,294.5797,Black,52,48-52 CM,28.68,Mountain-500,Current,01/07/2018,,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride."
381,"Road-550-W Yellow, 38",Road Bikes,Bikes,R,M,1000.4375,600.2625,605.6492,Yellow,38,38-40 CM,17.35,Road-550-W,,01/07/2017,30/06/2018,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing."
382,"Road-550-W Yellow, 38",Road Bikes,Bikes,R,M,1120.49,672.294,713.0798,Yellow,38,38-40 CM,17.35,Road-550-W,Current,01/07/2018,,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing."
383,"Road-550-W Yellow, 40",Road Bikes,Bikes,R,M,1000.4375,600.2625,605.6492,Yellow,40,38-40 CM,17.77,Road-550-W,,01/07/2017,30/06/2018,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing."
384,"Road-550-W Yellow, 40",Road Bikes,Bikes,R,M,1120.49,672.294,713.0798,Yellow,40,38-40 CM,17.77,Road-550-W,Current,01/07/2018,,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing."
385,"Road-550-W Yellow, 42",Road Bikes,Bikes,R,M,1000.4375,600.2625,605.6492,Yellow,42,42-46 CM,18.13,Road-550-W,,01/07/2017,30/06/2018,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing."
386,"Road-550-W Yellow, 42",Road Bikes,Bikes,R,M,1120.49,672.294,713.0798,Yellow,42,42-46 CM,18.13,Road-550-W,Current,01/07/2018,,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing."
387,"Road-550-W Yellow, 44",Road Bikes,Bikes,R,M,1000.4375,600.2625,605.6492,Yellow,44,42-46 CM,18.42,Road-550-W,,01/07/2017,30/06/2018,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing."
388,"Road-550-W Yellow, 44",Road Bikes,Bikes,R,M,1120.49,672.294,713.0798,Yellow,44,42-46 CM,18.42,Road-550-W,Current,01/07/2018,,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing."
389,"Road-550-W Yellow, 48",Road Bikes,Bikes,R,M,1000.4375,600.2625,605.6492,Yellow,48,48-52 CM,18.68,Road-550-W,,01/07/2017,30/06/2018,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing."
390,"Road-550-W Yellow, 48",Road Bikes,Bikes,R,M,1120.49,672.294,713.0798,Yellow,48,48-52 CM,18.68,Road-550-W,Current,01/07/2018,,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing."
580,"Road-350-W Yellow, 40",Road Bikes,Bikes,R,M,1700.99,1020.594,1082.51,Yellow,40,38-40 CM,15.35,Road-350-W,Current,01/07/2018,,"Cross-train, race, or just socialize on a sleek, aerodynamic bike designed for a woman.  Advanced seat technology provides comfort all day."
581,"Road-350-W Yellow, 42",Road Bikes,Bikes,R,M,1700.99,1020.594,1082.51,Yellow,42,42-46 CM,15.77,Road-350-W,Current,01/07/2018,,"Cross-train, race, or just socialize on a sleek, aerodynamic bike designed for a woman.  Advanced seat technology provides comfort all day."
582,"Road-350-W Yellow, 44",Road Bikes,Bikes,R,M,1700.99,1020.594,1082.51,Yellow,44,42-46 CM,16.13,Road-350-W,Current,01/07/2018,,"Cross-train, race, or just socialize on a sleek, aerodynamic bike designed for a woman.  Advanced seat technology provides comfort all day."
583,"Road-350-W Yellow, 48",Road Bikes,Bikes,R,M,1700.99,1020.594,1082.51,Yellow,48,48-52 CM,16.42,Road-350-W,Current,01/07/2018,,"Cross-train, race, or just socialize on a sleek, aerodynamic bike designed for a woman.  Advanced seat technology provides comfort all day."
314,"Road-150 Red, 56",Road Bikes,Bikes,R,H,3578.27,2146.962,2171.2942,Red,56,54-58 CM,14.68,Road-150,,01/07/2016,30/06/2017,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control."
315,"Road-450 Red, 58",Road Bikes,Bikes,R,M,1457.99,874.794,884.7083,Red,58,54-58 CM,17.79,Road-450,,01/07/2016,30/06/2017,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads."
310,"Road-150 Red, 62",Road Bikes,Bikes,R,H,3578.27,2146.962,2171.2942,Red,62,60-62 CM,15,Road-150,,01/07/2016,30/06/2017,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control."
311,"Road-150 Red, 44",Road Bikes,Bikes,R,H,3578.27,2146.962,2171.2942,Red,44,42-46 CM,13.77,Road-150,,01/07/2016,30/06/2017,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control."
312,"Road-150 Red, 48",Road Bikes,Bikes,R,H,3578.27,2146.962,2171.2942,Red,48,48-52 CM,14.13,Road-150,,01/07/2016,30/06/2017,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control."
313,"Road-150 Red, 52",Road Bikes,Bikes,R,H,3578.27,2146.962,2171.2942,Red,52,48-52 CM,14.42,Road-150,,01/07/2016,30/06/2017,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control."
316,"Road-450 Red, 60",Road Bikes,Bikes,R,M,1457.99,874.794,884.7083,Red,60,60-62 CM,17.9,Road-450,,01/07/2016,30/06/2017,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads."
317,"Road-450 Red, 44",Road Bikes,Bikes,R,M,1457.99,874.794,884.7083,Red,44,42-46 CM,16.77,Road-450,,01/07/2016,30/06/2017,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads."
318,"Road-450 Red, 48",Road Bikes,Bikes,R,M,1457.99,874.794,884.7083,Red,48,48-52 CM,17.13,Road-450,,01/07/2016,30/06/2017,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads."
319,"Road-450 Red, 52",Road Bikes,Bikes,R,M,1457.99,874.794,884.7083,Red,52,48-52 CM,17.42,Road-450,,01/07/2016,30/06/2017,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads."
320,"Road-650 Red, 58",Road Bikes,Bikes,R,L,699.0982,419.4589,413.1463,Red,58,54-58 CM,19.79,Road-650,,01/07/2016,30/06/2017,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
321,"Road-650 Red, 58",Road Bikes,Bikes,R,L,782.99,469.794,486.7066,Red,58,54-58 CM,19.79,Road-650,,01/07/2017,30/06/2018,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
322,"Road-650 Red, 60",Road Bikes,Bikes,R,L,699.0982,419.4589,413.1463,Red,60,60-62 CM,19.9,Road-650,,01/07/2016,30/06/2017,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
323,"Road-650 Red, 60",Road Bikes,Bikes,R,L,782.99,469.794,486.7066,Red,60,60-62 CM,19.9,Road-650,,01/07/2017,30/06/2018,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
324,"Road-650 Red, 62",Road Bikes,Bikes,R,L,699.0982,419.4589,413.1463,Red,62,60-62 CM,20,Road-650,,01/07/2016,30/06/2017,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
325,"Road-650 Red, 62",Road Bikes,Bikes,R,L,782.99,469.794,486.7066,Red,62,60-62 CM,20,Road-650,,01/07/2017,30/06/2018,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
